ID,Category,Supercategory
n01440764,"tench, Tinca tinca","cyprinid, cyprinid fish"
n01443537,"goldfish, Carassius auratus","cyprinid, cyprinid fish"
n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",mackerel shark
n01491361,"tiger shark, Galeocerdo cuvieri",requiem shark
n01494475,"hammerhead, hammerhead shark",shark
n01496331,"electric ray, crampfish, numbfish, torpedo",ray
n01498041,stingray,ray
n01514668,cock,bird
n01514859,hen,bird
n01518878,"ostrich, Struthio camelus","ratite, ratite bird, flightless bird"
n01530575,"brambling, Fringilla montifringilla",finch
n01531178,"goldfinch, Carduelis carduelis",finch
n01532829,"house finch, linnet, Carpodacus mexicanus",finch
n01534433,"junco, snowbird",finch
n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",bunting
n01558993,"robin, American robin, Turdus migratorius",thrush
n01560419,bulbul,"nightingale, Luscinia megarhynchos"
n01580077,jay,corvine bird
n01582220,magpie,corvine bird
n01592084,chickadee,"titmouse, tit"
n01601694,"water ouzel, dipper","oscine, oscine bird"
n01608432,kite,hawk
n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus","eagle, bird of Jove"
n01616318,vulture,"bird of prey, raptor, raptorial bird"
n01622779,"great grey owl, great gray owl, Strix nebulosa","owl, bird of Minerva, bird of night, hooter"
n01629819,"European fire salamander, Salamandra salamandra",salamander
n01630670,"common newt, Triturus vulgaris","newt, triton"
n01631663,eft,"newt, triton"
n01632458,"spotted salamander, Ambystoma maculatum","ambystomid, ambystomid salamander"
n01632777,"axolotl, mud puppy, Ambystoma mexicanum","ambystomid, ambystomid salamander"
n01641577,"bullfrog, Rana catesbeiana","true frog, ranid"
n01644373,"tree frog, tree-frog","frog, toad, toad frog, anuran, batrachian, salientian"
n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui","frog, toad, toad frog, anuran, batrachian, salientian"
n01664065,"loggerhead, loggerhead turtle, Caretta caretta","sea turtle, marine turtle"
n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea","sea turtle, marine turtle"
n01667114,mud turtle,turtle
n01667778,terrapin,turtle
n01669191,"box turtle, box tortoise",turtle
n01675722,banded gecko,gecko
n01677366,"common iguana, iguana, Iguana iguana","iguanid, iguanid lizard"
n01682714,"American chameleon, anole, Anolis carolinensis","iguanid, iguanid lizard"
n01685808,"whiptail, whiptail lizard","teiid lizard, teiid"
n01687978,agama,"agamid, agamid lizard"
n01688243,"frilled lizard, Chlamydosaurus kingi","agamid, agamid lizard"
n01689811,alligator lizard,anguid lizard
n01692333,"Gila monster, Heloderma suspectum",venomous lizard
n01693334,"green lizard, Lacerta viridis","lacertid lizard, lacertid"
n01694178,"African chameleon, Chamaeleo chamaeleon","chameleon, chamaeleon"
n01695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis","monitor, monitor lizard, varan"
n01697457,"African crocodile, Nile crocodile, Crocodylus niloticus",crocodile
n01698640,"American alligator, Alligator mississipiensis","alligator, gator"
n01704323,triceratops,"ceratopsian, horned dinosaur"
n01728572,"thunder snake, worm snake, Carphophis amoenus","colubrid snake, colubrid"
n01728920,"ringneck snake, ring-necked snake, ring snake","colubrid snake, colubrid"
n01729322,"hognose snake, puff adder, sand viper","colubrid snake, colubrid"
n01729977,"green snake, grass snake","colubrid snake, colubrid"
n01734418,"king snake, kingsnake","colubrid snake, colubrid"
n01735189,"garter snake, grass snake","colubrid snake, colubrid"
n01737021,water snake,"colubrid snake, colubrid"
n01739381,vine snake,"colubrid snake, colubrid"
n01740131,"night snake, Hypsiglena torquata","colubrid snake, colubrid"
n01742172,"boa constrictor, Constrictor constrictor",boa
n01744401,"rock python, rock snake, Python sebae",python
n01748264,"Indian cobra, Naja naja",cobra
n01749939,green mamba,"black mamba, Dendroaspis augusticeps"
n01751748,sea snake,"snake, serpent, ophidian"
n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",viper
n01755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus","rattlesnake, rattler"
n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes","rattlesnake, rattler"
n01768244,trilobite,arthropod
n01770081,"harvestman, daddy longlegs, Phalangium opilio","arachnid, arachnoid"
n01770393,scorpion,"arachnid, arachnoid"
n01773157,"black and gold garden spider, Argiope aurantia",spider
n01773549,"barn spider, Araneus cavaticus",spider
n01773797,"garden spider, Aranea diademata",spider
n01774384,"black widow, Latrodectus mactans",spider
n01774750,tarantula,spider
n01775062,"wolf spider, hunting spider",spider
n01776313,tick,acarine
n01784675,centipede,arthropod
n01795545,black grouse,grouse
n01796340,ptarmigan,grouse
n01797886,"ruffed grouse, partridge, Bonasa umbellus",grouse
n01798484,"prairie chicken, prairie grouse, prairie fowl",grouse
n01806143,peacock,"peafowl, bird of Juno"
n01806567,quail,phasianid
n01807496,partridge,phasianid
n01817953,"African grey, African gray, Psittacus erithacus",parrot
n01818515,macaw,parrot
n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",cockatoo
n01820546,lorikeet,lory
n01824575,coucal,cuckoo
n01828970,bee eater,coraciiform bird
n01829413,hornbill,coraciiform bird
n01833805,hummingbird,apodiform bird
n01843065,jacamar,piciform bird
n01843383,toucan,piciform bird
n01847000,drake,duck
n01855032,"red-breasted merganser, Mergus serrator","merganser, fish duck, sawbill, sheldrake"
n01855672,goose,anseriform bird
n01860187,"black swan, Cygnus atratus",swan
n01871265,tusker,"mammal, mammalian"
n01872401,"echidna, spiny anteater, anteater","monotreme, egg-laying mammal"
n01873310,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus","monotreme, egg-laying mammal"
n01877812,"wallaby, brush kangaroo",kangaroo
n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus","phalanger, opossum, possum"
n01883070,wombat,"marsupial, pouched mammal"
n01910747,jellyfish,"coelenterate, cnidarian"
n01914609,"sea anemone, anemone","anthozoan, actinozoan"
n01917289,brain coral,"stony coral, madrepore, madriporian coral"
n01924916,"flatworm, platyhelminth",worm
n01930112,"nematode, nematode worm, roundworm",worm
n01943899,conch,"gastropod, univalve"
n01944390,snail,"gastropod, univalve"
n01945685,slug,"gastropod, univalve"
n01950731,"sea slug, nudibranch","gastropod, univalve"
n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore","mollusk, mollusc, shellfish"
n01968897,"chambered nautilus, pearly nautilus, nautilus","cephalopod, cephalopod mollusk"
n01978287,"Dungeness crab, Cancer magister",crab
n01978455,"rock crab, Cancer irroratus",crab
n01980166,fiddler crab,crab
n01981276,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",crab
n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",true lobster
n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",lobster
n01985128,"crayfish, crawfish, crawdad, crawdaddy","decapod crustacean, decapod"
n01986214,hermit crab,"decapod crustacean, decapod"
n01990800,isopod,malacostracan crustacean
n02002556,"white stork, Ciconia ciconia",stork
n02002724,"black stork, Ciconia nigra",stork
n02006656,spoonbill,"wading bird, wader"
n02007558,flamingo,"wading bird, wader"
n02009229,"little blue heron, Egretta caerulea",heron
n02009912,"American egret, great white heron, Egretta albus",egret
n02011460,bittern,heron
n02012849,crane,"wading bird, wader"
n02013706,"limpkin, Aramus pictus","wading bird, wader"
n02017213,"European gallinule, Porphyrio porphyrio",purple gallinule
n02018207,"American coot, marsh hen, mud hen, water hen, Fulica americana",coot
n02018795,bustard,"wading bird, wader"
n02025239,"ruddy turnstone, Arenaria interpres",turnstone
n02027492,"red-backed sandpiper, dunlin, Erolia alpina",sandpiper
n02028035,"redshank, Tringa totanus",sandpiper
n02033041,dowitcher,snipe
n02037110,"oystercatcher, oyster catcher","shorebird, shore bird, limicoline bird"
n02051845,pelican,pelecaniform seabird
n02056570,"king penguin, Aptenodytes patagonica",penguin
n02058221,"albatross, mollymawk","pelagic bird, oceanic bird"
n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus","baleen whale, whalebone whale"
n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",dolphin
n02074367,"dugong, Dugong dugon","sea cow, sirenian mammal, sirenian"
n02077923,sea lion,eared seal
n02085620,Chihuahua,"toy dog, toy"
n02085782,Japanese spaniel,"toy dog, toy"
n02085936,"Maltese dog, Maltese terrier, Maltese","toy dog, toy"
n02086079,"Pekinese, Pekingese, Peke","toy dog, toy"
n02086240,Shih-Tzu,"toy dog, toy"
n02086646,Blenheim spaniel,English toy spaniel
n02086910,papillon,toy spaniel
n02087046,toy terrier,"toy dog, toy"
n02087394,Rhodesian ridgeback,hunting dog
n02088094,"Afghan hound, Afghan","hound, hound dog"
n02088238,"basset, basset hound","hound, hound dog"
n02088364,beagle,"hound, hound dog"
n02088466,"bloodhound, sleuthhound","hound, hound dog"
n02088632,bluetick,"hound, hound dog"
n02089078,black-and-tan coonhound,coonhound
n02089867,"Walker hound, Walker foxhound",foxhound
n02089973,English foxhound,foxhound
n02090379,redbone,"hound, hound dog"
n02090622,"borzoi, Russian wolfhound",wolfhound
n02090721,Irish wolfhound,wolfhound
n02091032,Italian greyhound,greyhound
n02091134,whippet,greyhound
n02091244,"Ibizan hound, Ibizan Podenco","hound, hound dog"
n02091467,"Norwegian elkhound, elkhound","hound, hound dog"
n02091635,"otterhound, otter hound","hound, hound dog"
n02091831,"Saluki, gazelle hound","hound, hound dog"
n02092002,"Scottish deerhound, deerhound","hound, hound dog"
n02092339,Weimaraner,"hound, hound dog"
n02093256,"Staffordshire bullterrier, Staffordshire bull terrier","bullterrier, bull terrier"
n02093428,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier","bullterrier, bull terrier"
n02093647,Bedlington terrier,terrier
n02093754,Border terrier,terrier
n02093859,Kerry blue terrier,terrier
n02093991,Irish terrier,terrier
n02094114,Norfolk terrier,terrier
n02094258,Norwich terrier,terrier
n02094433,Yorkshire terrier,terrier
n02095314,wire-haired fox terrier,fox terrier
n02095570,Lakeland terrier,"wirehair, wirehaired terrier, wire-haired terrier"
n02095889,"Sealyham terrier, Sealyham",Welsh terrier
n02096051,"Airedale, Airedale terrier",terrier
n02096177,"cairn, cairn terrier",terrier
n02096294,Australian terrier,terrier
n02096437,"Dandie Dinmont, Dandie Dinmont terrier",terrier
n02096585,"Boston bull, Boston terrier",terrier
n02097047,miniature schnauzer,schnauzer
n02097130,giant schnauzer,schnauzer
n02097209,standard schnauzer,schnauzer
n02097298,"Scotch terrier, Scottish terrier, Scottie",terrier
n02097474,"Tibetan terrier, chrysanthemum dog",terrier
n02097658,"silky terrier, Sydney silky",terrier
n02098105,soft-coated wheaten terrier,terrier
n02098286,West Highland white terrier,terrier
n02098413,"Lhasa, Lhasa apso",terrier
n02099267,flat-coated retriever,retriever
n02099429,curly-coated retriever,retriever
n02099601,golden retriever,retriever
n02099712,Labrador retriever,retriever
n02099849,Chesapeake Bay retriever,retriever
n02100236,German short-haired pointer,"pointer, Spanish pointer"
n02100583,"vizsla, Hungarian pointer","pointer, Spanish pointer"
n02100735,English setter,setter
n02100877,"Irish setter, red setter",setter
n02101006,Gordon setter,setter
n02101388,Brittany spaniel,spaniel
n02101556,"clumber, clumber spaniel",spaniel
n02102040,"English springer, English springer spaniel","springer spaniel, springer"
n02102177,Welsh springer spaniel,"springer spaniel, springer"
n02102318,"cocker spaniel, English cocker spaniel, cocker",spaniel
n02102480,Sussex spaniel,spaniel
n02102973,Irish water spaniel,water spaniel
n02104029,kuvasz,"watchdog, guard dog"
n02104365,schipperke,"watchdog, guard dog"
n02105056,groenendael,"Belgian sheepdog, Belgian shepherd"
n02105162,malinois,"Belgian sheepdog, Belgian shepherd"
n02105251,briard,"shepherd dog, sheepdog, sheep dog"
n02105412,kelpie,"shepherd dog, sheepdog, sheep dog"
n02105505,komondor,"shepherd dog, sheepdog, sheep dog"
n02105641,"Old English sheepdog, bobtail","shepherd dog, sheepdog, sheep dog"
n02105855,"Shetland sheepdog, Shetland sheep dog, Shetland","shepherd dog, sheepdog, sheep dog"
n02106030,collie,"shepherd dog, sheepdog, sheep dog"
n02106166,Border collie,"shepherd dog, sheepdog, sheep dog"
n02106382,"Bouvier des Flandres, Bouviers des Flandres","shepherd dog, sheepdog, sheep dog"
n02106550,Rottweiler,"shepherd dog, sheepdog, sheep dog"
n02106662,"German shepherd, German shepherd dog, German police dog, alsatian","shepherd dog, sheepdog, sheep dog"
n02107142,"Doberman, Doberman pinscher",pinscher
n02107312,miniature pinscher,pinscher
n02107574,Greater Swiss Mountain dog,Sennenhunde
